Freq.	V(10)/V(11)
1.00000000000000e+000	(2.83232333524898e+001dB,-1.34658550232686e+002°)
1.02329299228075e+000	(2.84221838417548e+001dB,-1.35347785107037e+002°)
1.04712854805090e+000	(2.85186482213855e+001dB,-1.36036206757897e+002°)
1.07151930523761e+000	(2.86126364431835e+001dB,-1.36723408256851e+002°)
1.09647819614318e+000	(2.87041613803939e+001dB,-1.37408988333348e+002°)
1.12201845430196e+000	(2.87932387451989e+001dB,-1.38092552474919e+002°)
1.14815362149688e+000	(2.88798869948631e+001dB,-1.38773713969914e+002°)
1.17489755493953e+000	(2.89641272275278e+001dB,-1.39452094887297e+002°)
1.20226443461741e+000	(2.90459830687137e+001dB,-1.40127326988827e+002°)
1.23026877081238e+000	(2.91254805496334e+001dB,-1.40799052569819e+002°)
1.25892541179417e+000	(2.92026479784415e+001dB,-1.41466925225461e+002°)
1.28824955169313e+000	(2.92775158055648e+001dB,-1.42130610540532e+002°)
1.31825673855641e+000	(2.93501164842507e+001dB,-1.42789786701152e+002°)
1.34896288259165e+000	(2.94204843274586e+001dB,-1.43444145027957e+002°)
1.38038426460288e+000	(2.94886553621903e+001dB,-1.44093390430857e+002°)
1.41253754462275e+000	(2.95546671823174e+001dB,-1.44737241786204e+002°)
1.44543977074593e+000	(2.96185588009155e+001dB,-1.45375432237815e+002°)
1.47910838816821e+000	(2.96803705030581e+001dB,-1.46007709423913e+002°)
1.51356124843621e+000	(2.97401436999600e+001dB,-1.46633835632503e+002°)
1.54881661891248e+000	(2.97979207852924e+001dB,-1.47253587888200e+002°)
1.58489319246111e+000	(2.98537449944173e+001dB,-1.47866757973850e+002°)
1.62181009735893e+000	(2.99076602672161e+001dB,-1.48473152390650e+002°)
1.65958690743756e+000	(2.99597111151086e+001dB,-1.49072592260686e+002°)
1.69824365246174e+000	(3.00099424927829e+001dB,-1.49664913176010e+002°)
1.73780082874937e+000	(3.00583996750816e+001dB,-1.50249964998496e+002°)
1.77827941003892e+000	(3.01051281394141e+001dB,-1.50827611614806e+002°)
1.81970085860998e+000	(3.01501734539931e+001dB,-1.51397730650796e+002°)
1.86208713666287e+000	(3.01935811721278e+001dB,-1.51960213149683e+002°)
1.90546071796325e+000	(3.02353967327381e+001dB,-1.52514963218229e+002°)
1.94984459975804e+000	(3.02756653671965e+001dB,-1.53061897645090e+002°)
1.99526231496888e+000	(3.03144320125477e+001dB,-1.53600945495345e+002°)
2.04173794466953e+000	(3.03517412311039e+001dB,-1.54132047685083e+002°)
2.08929613085404e+000	(3.03876371363702e+001dB,-1.54655156539695e+002°)
2.13796208950223e+000	(3.04221633252106e+001dB,-1.55170235339392e+002°)
2.18776162394955e+000	(3.04553628161302e+001dB,-1.55677257855186e+002°)
2.23872113856834e+000	(3.04872779935171e+001dB,-1.56176207878404e+002°)
2.29086765276777e+000	(3.05179505576611e+001dB,-1.56667078746557e+002°)
2.34422881531992e+000	(3.05474214803415e+001dB,-1.57149872868160e+002°)
2.39883291901949e+000	(3.05757309657618e+001dB,-1.57624601248867e+002°)
2.45470891568503e+000	(3.06029184165891e+001dB,-1.58091283021083e+002°)
2.51188643150958e+000	(3.06290224048505e+001dB,-1.58549944978956e+002°)
2.57039578276886e+000	(3.06540806474263e+001dB,-1.59000621120486e+002°)
2.63026799189538e+000	(3.06781299858768e+001dB,-1.59443352198242e+002°)
2.69153480392691e+000	(3.07012063703399e+001dB,-1.59878185280001e+002°)
2.75422870333816e+000	(3.07233448472307e+001dB,-1.60305173320454e+002°)
2.81838293126445e+000	(3.07445795504837e+001dB,-1.60724374744906e+002°)
2.88403150312660e+000	(3.07649436960772e+001dB,-1.61135853045792e+002°)
2.95120922666638e+000	(3.07844695795872e+001dB,-1.61539676392622e+002°)
3.01995172040201e+000	(3.08031885765249e+001dB,-1.61935917255878e+002°)
3.09029543251359e+000	(3.08211311452210e+001dB,-1.62324652045216e+002°)
3.16227766016837e+000	(3.08383268320262e+001dB,-1.62705960762252e+002°)
3.23593656929628e+000	(3.08548042786091e+001dB,-1.63079926668064e+002°)
3.31131121482591e+000	(3.08705912311444e+001dB,-1.63446635965478e+002°)
3.38844156139202e+000	(3.08857145511890e+001dB,-1.63806177496105e+002°)
3.46736850452531e+000	(3.09002002280620e+001dB,-1.64158642452029e+002°)
3.54813389233575e+000	(3.09140733925487e+001dB,-1.64504124101972e+002°)
3.63078054770101e+000	(3.09273583317638e+001dB,-1.64842717531718e+002°)
3.71535229097172e+000	(3.09400785050182e+001dB,-1.65174519398507e+002°)
3.80189396320560e+000	(3.09522565605429e+001dB,-1.65499627699103e+002°)
3.89045144994280e+000	(3.09639143529373e+001dB,-1.65818141551155e+002°)
3.98107170553496e+000	(3.09750729612159e+001dB,-1.66130160987492e+002°)
4.07380277804112e+000	(3.09857527073380e+001dB,-1.66435786762939e+002°)
4.16869383470335e+000	(3.09959731751152e+001dB,-1.66735120173228e+002°)
4.26579518801592e+000	(3.10057532293999e+001dB,-1.67028262885567e+002°)
4.36515832240165e+000	(3.10151110354649e+001dB,-1.67315316780431e+002°)
4.46683592150962e+000	(3.10240640784951e+001dB,-1.67596383804109e+002°)
4.57088189614874e+000	(3.10326291831170e+001dB,-1.67871565831558e+002°)
4.67735141287197e+000	(3.10408225329018e+001dB,-1.68140964539123e+002°)
4.78630092322637e+000	(3.10486596897810e+001dB,-1.68404681286645e+002°)
4.89778819368445e+000	(3.10561556133233e+001dB,-1.68662817008541e+002°)
5.01187233627271e+000	(3.10633246798252e+001dB,-1.68915472113396e+002°)
5.12861383991364e+000	(3.10701807011734e+001dB,-1.69162746391650e+002°)
5.24807460249771e+000	(3.10767369434442e+001dB,-1.69404738930955e+002°)
5.37031796370252e+000	(3.10830061452059e+001dB,-1.69641548038792e+002°)
5.49540873857623e+000	(3.10890005354987e+001dB,-1.69873271171955e+002°)
5.62341325190348e+000	(3.10947318514680e+001dB,-1.70100004872517e+002°)
5.75439937337156e+000	(3.11002113556312e+001dB,-1.70321844709906e+002°)
5.88843655355588e+000	(3.11054498527620e+001dB,-1.70538885228733e+002°)
6.02559586074356e+000	(3.11104577063791e+001dB,-1.70751219902030e+002°)
6.16595001861481e+000	(3.11152448548274e+001dB,-1.70958941089569e+002°)
6.30957344480192e+000	(3.11198208269460e+001dB,-1.71162140000943e+002°)
6.45654229034654e+000	(3.11241947573152e+001dB,-1.71360906663111e+002°)
6.60693448007594e+000	(3.11283754010799e+001dB,-1.71555329892116e+002°)
6.76082975391980e+000	(3.11323711483472e+001dB,-1.71745497268703e+002°)
6.91830970918935e+000	(3.11361900381584e+001dB,-1.71931495117576e+002°)
7.07945784384136e+000	(3.11398397720360e+001dB,-1.72113408490043e+002°)
7.24435960074988e+000	(3.11433277271097e+001dB,-1.72291321149815e+002°)
7.41310241300916e+000	(3.11466609688232e+001dB,-1.72465315561739e+002°)
7.58577575029182e+000	(3.11498462632281e+001dB,-1.72635472883252e+002°)
7.76247116628690e+000	(3.11528900888705e+001dB,-1.72801872958343e+002°)
7.94328234724279e+000	(3.11557986482752e+001dB,-1.72964594313862e+002°)
8.12830516164097e+000	(3.11585778790370e+001dB,-1.73123714157971e+002°)
8.31763771102669e+000	(3.11612334645244e+001dB,-1.73279308380582e+002°)
8.51138038202374e+000	(3.11637708442052e+001dB,-1.73431451555624e+002°)
8.70963589956078e+000	(3.11661952236017e+001dB,-1.73580216944984e+002°)
8.91250938133743e+000	(3.11685115838851e+001dB,-1.73725676503990e+002°)
9.12010839355907e+000	(3.11707246911176e+001dB,-1.73867900888298e+002°)
9.33254300796988e+000	(3.11728391051507e+001dB,-1.74006959462066e+002°)
9.54992586021433e+000	(3.11748591881906e+001dB,-1.74142920307293e+002°)
9.77237220955808e+000	(3.11767891130391e+001dB,-1.74275850234219e+002°)
9.99999999999997e+000	(3.11786328710191e+001dB,-1.74405814792690e+002°)
1.02329299228075e+001	(3.11803942795954e+001dB,-1.74532878284379e+002°)
1.04712854805090e+001	(3.11820769896991e+001dB,-1.74657103775793e+002°)
1.07151930523760e+001	(3.11836844927651e+001dB,-1.74778553111969e+002°)
1.09647819614318e+001	(3.11852201274928e+001dB,-1.74897286930787e+002°)
1.12201845430196e+001	(3.11866870863376e+001dB,-1.75013364677838e+002°)
1.14815362149688e+001	(3.11880884217442e+001dB,-1.75126844621763e+002°)
1.17489755493953e+001	(3.11894270521289e+001dB,-1.75237783870016e+002°)
1.20226443461741e+001	(3.11907057676198e+001dB,-1.75346238384987e+002°)
1.23026877081238e+001	(3.11919272355648e+001dB,-1.75452263000431e+002°)
1.25892541179416e+001	(3.11930940058138e+001dB,-1.75555911438162e+002°)
1.28824955169313e+001	(3.11942085157851e+001dB,-1.75657236324954e+002°)
1.31825673855640e+001	(3.11952730953220e+001dB,-1.75756289209617e+002°)
1.34896288259165e+001	(3.11962899713493e+001dB,-1.75853120580204e+002°)
1.38038426460288e+001	(3.11972612723360e+001dB,-1.75947779881314e+002°)
1.41253754462275e+001	(3.11981890325715e+001dB,-1.76040315531462e+002°)
1.44543977074592e+001	(3.11990751962633e+001dB,-1.76130774940479e+002°)
1.47910838816820e+001	(3.11999216214623e+001dB,-1.76219204526917e+002°)
1.51356124843620e+001	(3.12007300838225e+001dB,-1.76305649735436e+002°)
1.54881661891248e+001	(3.12015022802019e+001dB,-1.76390155054146e+002°)
1.58489319246111e+001	(3.12022398321109e+001dB,-1.76472764031885e+002°)
1.62181009735892e+001	(3.12029442890135e+001dB,-1.76553519295414e+002°)
1.65958690743755e+001	(3.12036171314880e+001dB,-1.76632462566503e+002°)
1.69824365246174e+001	(3.12042597742528e+001dB,-1.76709634678909e+002°)
1.73780082874937e+001	(3.12048735690621e+001dB,-1.76785075595217e+002°)
1.77827941003892e+001	(3.12054598074778e+001dB,-1.76858824423528e+002°)
1.81970085860998e+001	(3.12060197235211e+001dB,-1.76930919434005e+002°)
1.86208713666286e+001	(3.12065544962107e+001dB,-1.77001398075238e+002°)
1.90546071796324e+001	(3.12070652519908e+001dB,-1.77070296990437e+002°)
1.94984459975804e+001	(3.12075530670542e+001dB,-1.77137652033439e+002°)
1.99526231496887e+001	(3.12080189695639e+001dB,-1.77203498284524e+002°)
2.04173794466952e+001	(3.12084639417793e+001dB,-1.77267870066025e+002°)
2.08929613085403e+001	(3.12088889220890e+001dB,-1.77330800957742e+002°)
2.13796208950222e+001	(3.12092948069550e+001dB,-1.77392323812144e+002°)
2.18776162394954e+001	(3.12096824527725e+001dB,-1.77452470769350e+002°)
2.23872113856833e+001	(3.12100526776478e+001dB,-1.77511273271905e+002°)
2.29086765276776e+001	(3.12104062630992e+001dB,-1.77568762079325e+002°)
2.34422881531991e+001	(3.12107439556820e+001dB,-1.77624967282432e+002°)
2.39883291901948e+001	(3.12110664685435e+001dB,-1.77679918317452e+002°)
2.45470891568502e+001	(3.12113744829089e+001dB,-1.77733643979903e+002°)
2.51188643150957e+001	(3.12116686495020e+001dB,-1.77786172438243e+002°)
2.57039578276885e+001	(3.12119495899037e+001dB,-1.77837531247305e+002°)
2.63026799189537e+001	(3.12122178978496e+001dB,-1.77887747361500e+002°)
2.69153480392690e+001	(3.12124741404717e+001dB,-1.77936847147792e+002°)
2.75422870333815e+001	(3.12127188594842e+001dB,-1.77984856398460e+002°)
2.81838293126444e+001	(3.12129525723173e+001dB,-1.78031800343621e+002°)
2.88403150312659e+001	(3.12131757732008e+001dB,-1.78077703663545e+002°)
2.95120922666637e+001	(3.12133889341994e+001dB,-1.78122590500741e+002°)
3.01995172040200e+001	(3.12135925062030e+001dB,-1.78166484471827e+002°)
3.09029543251358e+001	(3.12137869198719e+001dB,-1.78209408679184e+002°)
3.16227766016837e+001	(3.12139725865407e+001dB,-1.78251385722389e+002°)
3.23593656929627e+001	(3.12141498990826e+001dB,-1.78292437709446e+002°)
3.31131121482590e+001	(3.12143192327335e+001dB,-1.78332586267796e+002°)
3.38844156139201e+001	(3.12144809458818e+001dB,-1.78371852555126e+002°)
3.46736850452530e+001	(3.12146353808210e+001dB,-1.78410257269972e+002°)
3.54813389233574e+001	(3.12147828644703e+001dB,-1.78447820662115e+002°)
3.63078054770100e+001	(3.12149237090619e+001dB,-1.78484562542782e+002°)
3.71535229097171e+001	(3.12150582127985e+001dB,-1.78520502294651e+002°)
3.80189396320559e+001	(3.12151866604812e+001dB,-1.78555658881655e+002°)
3.89045144994279e+001	(3.12153093241092e+001dB,-1.78590050858607e+002°)
3.98107170553495e+001	(3.12154264634532e+001dB,-1.78623696380624e+002°)
4.07380277804111e+001	(3.12155383266025e+001dB,-1.78656613212373e+002°)
4.16869383470333e+001	(3.12156451504883e+001dB,-1.78688818737139e+002°)
4.26579518801591e+001	(3.12157471613832e+001dB,-1.78720329965708e+002°)
4.36515832240164e+001	(3.12158445753784e+001dB,-1.78751163545072e+002°)
4.46683592150961e+001	(3.12159375988399e+001dB,-1.78781335766977e+002°)
4.57088189614873e+001	(3.12160264288439e+001dB,-1.78810862576280e+002°)
4.67735141287196e+001	(3.12161112535926e+001dB,-1.78839759579159e+002°)
4.78630092322636e+001	(3.12161922528117e+001dB,-1.78868042051149e+002°)
4.89778819368444e+001	(3.12162695981300e+001dB,-1.78895724945024e+002°)
5.01187233627270e+001	(3.12163434534418e+001dB,-1.78922822898520e+002°)
5.12861383991362e+001	(3.12164139752533e+001dB,-1.78949350241902e+002°)
5.24807460249770e+001	(3.12164813130130e+001dB,-1.78975321005389e+002°)
5.37031796370250e+001	(3.12165456094278e+001dB,-1.79000748926423e+002°)
