time	V(6)	V(10)	V(11)	V(vdd)	I(Rz)	Id(M1)
0.000000000000000e+000	2.647771e+001	4.001827e+000	1.964387e-016	1.799927e+001	2.131807e-002	3.932422e-005
1.074218749999023e-004	2.645474e+001	3.877200e+000	3.361970e-003	1.799904e+001	2.126013e-002	3.983367e-005
3.222656249999290e-004	2.640896e+001	3.631284e+000	9.954239e-003	1.799858e+001	2.114470e-002	4.083892e-005
7.222656249998849e-004	2.632432e+001	3.193892e+000	2.157546e-002	1.799772e+001	2.093130e-002	4.262636e-005
1.122265624999841e-003	2.624042e+001	2.801770e+000	3.189797e-002	1.799688e+001	2.071990e-002	4.422790e-005
1.522265624999797e-003	2.615735e+001	2.483393e+000	4.021621e-002	1.799604e+001	2.051081e-002	4.552694e-005
1.922265624999753e-003	2.607505e+001	2.251143e+000	4.626659e-002	1.799522e+001	2.030387e-002	4.647274e-005
2.183707456348882e-003	2.602167e+001	2.154178e+000	4.880263e-002	1.799468e+001	2.016980e-002	4.686596e-005
2.353268504303507e-003	2.598727e+001	2.123893e+000	4.961288e-002	1.799433e+001	2.008351e-002	4.698742e-005
2.563131600431312e-003	2.594492e+001	2.119815e+000	4.976464e-002	1.799391e+001	1.997737e-002	4.700112e-005
2.752787953389291e-003	2.590681e+001	2.139947e+000	4.929459e-002	1.799353e+001	1.988190e-002	4.691602e-005
2.834851907757674e-003	2.589037e+001	2.156937e+000	4.887981e-002	1.799336e+001	1.984076e-002	4.684531e-005
2.879308108050482e-003	2.588149e+001	2.168984e+000	4.858238e-002	1.799327e+001	1.981853e-002	4.679538e-005
2.899638830017315e-003	2.587744e+001	2.175107e+000	4.843063e-002	1.799323e+001	1.980839e-002	4.677003e-005
2.913516738291211e-003	2.587468e+001	2.179522e+000	4.832099e-002	1.799321e+001	1.980149e-002	4.675176e-005
2.925917071399109e-003	2.587222e+001	2.183606e+000	4.821946e-002	1.799318e+001	1.979536e-002	4.673488e-005
2.939390987686252e-003	2.586958e+001	2.188173e+000	4.810581e-002	1.799315e+001	1.978873e-002	4.671599e-005
2.951786207152196e-003	2.586717e+001	2.192493e+000	4.799823e-002	1.799313e+001	1.978272e-002	4.669814e-005
2.964874572235932e-003	2.586469e+001	2.197181e+000	4.788137e-002	1.799310e+001	1.977650e-002	4.667877e-005
2.978635030236543e-003	2.586217e+001	2.202250e+000	4.775493e-002	1.799308e+001	1.977022e-002	4.665784e-005
2.994300336834899e-003	2.585953e+001	2.208200e+000	4.760639e-002	1.799305e+001	1.976360e-002	4.663328e-005
3.014228325858737e-003	2.585673e+001	2.216074e+000	4.740965e-002	1.799303e+001	1.975662e-002	4.660080e-005
3.048011914235094e-003	2.585373e+001	2.230092e+000	4.705917e-002	1.799300e+001	1.974913e-002	4.654307e-005
3.086143728449731e-003	2.585332e+001	2.246835e+000	4.664028e-002	1.799299e+001	1.974815e-002	4.647422e-005
3.126167868178209e-003	2.585725e+001	2.265597e+000	4.617062e-002	1.799303e+001	1.975806e-002	4.639724e-005
3.177201356873383e-003	2.586944e+001	2.291368e+000	4.552504e-002	1.799315e+001	1.978871e-002	4.629173e-005
3.249840087673928e-003	2.590012e+001	2.331560e+000	4.451703e-002	1.799346e+001	1.986571e-002	4.612762e-005
3.361726630564554e-003	2.597371e+001	2.401242e+000	4.276520e-002	1.799420e+001	2.005033e-002	4.584384e-005
3.539162204824420e-003	2.613740e+001	2.530637e+000	3.949380e-002	1.799584e+001	2.046094e-002	4.531804e-005
3.866655921953788e-003	2.650021e+001	2.809163e+000	3.239501e-002	1.799948e+001	2.137101e-002	4.418718e-005
