Freq.	V(10)/V(11)
1.00000000000000e+000	2.83232333524898e+001
1.02329299228075e+000	2.84221838417548e+001
1.04712854805090e+000	2.85186482213855e+001
1.07151930523761e+000	2.86126364431835e+001
1.09647819614318e+000	2.87041613803939e+001
1.12201845430196e+000	2.87932387451989e+001
1.14815362149688e+000	2.88798869948631e+001
1.17489755493953e+000	2.89641272275278e+001
1.20226443461741e+000	2.90459830687137e+001
1.23026877081238e+000	2.91254805496334e+001
1.25892541179417e+000	2.92026479784415e+001
1.28824955169313e+000	2.92775158055648e+001
1.31825673855641e+000	2.93501164842507e+001
1.34896288259165e+000	2.94204843274586e+001
1.38038426460288e+000	2.94886553621903e+001
1.41253754462275e+000	2.95546671823174e+001
1.44543977074593e+000	2.96185588009155e+001
1.47910838816821e+000	2.96803705030581e+001
1.51356124843621e+000	2.97401436999600e+001
1.54881661891248e+000	2.97979207852924e+001
1.58489319246111e+000	2.98537449944173e+001
1.62181009735893e+000	2.99076602672161e+001
1.65958690743756e+000	2.99597111151086e+001
1.69824365246174e+000	3.00099424927829e+001
1.73780082874937e+000	3.00583996750816e+001
1.77827941003892e+000	3.01051281394141e+001
1.81970085860998e+000	3.01501734539931e+001
1.86208713666287e+000	3.01935811721278e+001
1.90546071796325e+000	3.02353967327381e+001
1.94984459975804e+000	3.02756653671965e+001
1.99526231496888e+000	3.03144320125477e+001
2.04173794466953e+000	3.03517412311039e+001
2.08929613085404e+000	3.03876371363702e+001
2.13796208950223e+000	3.04221633252106e+001
2.18776162394955e+000	3.04553628161302e+001
2.23872113856834e+000	3.04872779935171e+001
2.29086765276777e+000	3.05179505576611e+001
2.34422881531992e+000	3.05474214803415e+001
2.39883291901949e+000	3.05757309657618e+001
2.45470891568503e+000	3.06029184165891e+001
2.51188643150958e+000	3.06290224048505e+001
2.57039578276886e+000	3.06540806474263e+001
2.63026799189538e+000	3.06781299858768e+001
2.69153480392691e+000	3.07012063703399e+001
2.75422870333816e+000	3.07233448472307e+001
2.81838293126445e+000	3.07445795504837e+001
2.88403150312660e+000	3.07649436960772e+001
2.95120922666638e+000	3.07844695795872e+001
3.01995172040201e+000	3.08031885765249e+001
3.09029543251359e+000	3.08211311452210e+001
