time	V(6)	V(10)	V(11)	V(vdd)	I(Rz)	Id(M1)
0.000000000000000e+000	2.648837e+001	4.291096e+000	-4.856824e-014	1.799938e+001	2.134567e-002	3.978670e-005
1.136061786199960e-006	2.648813e+001	4.161138e+000	3.553921e-003	1.799938e+001	2.134469e-002	3.997636e-005
3.408185358599880e-006	2.648764e+001	3.901656e+000	1.051476e-002	1.799937e+001	2.134271e-002	4.086509e-005
7.408185358492858e-006	2.648678e+001	3.454397e+000	2.208961e-002	1.799936e+001	2.133927e-002	4.265182e-005
1.140818535838584e-005	2.648592e+001	3.037311e+000	3.233268e-002	1.799934e+001	2.133590e-002	4.424991e-005
1.540818535827881e-005	2.648506e+001	2.677824e+000	4.054416e-002	1.799933e+001	2.133270e-002	4.554365e-005
1.940818535817179e-005	2.648420e+001	2.390841e+000	4.648967e-002	1.799932e+001	2.132971e-002	4.648675e-005
2.190668532908724e-005	2.648367e+001	2.258009e+000	4.885244e-002	1.799931e+001	2.132797e-002	4.686281e-005
2.361907793591023e-005	2.648330e+001	2.197320e+000	4.963362e-002	1.799931e+001	2.132687e-002	4.698696e-005
2.573798341942712e-005	2.648284e+001	2.154550e+000	4.974142e-002	1.799930e+001	2.132560e-002	4.700306e-005
2.770150593445209e-005	2.648242e+001	2.148248e+000	4.897896e-002	1.799930e+001	2.132452e-002	4.687984e-005
3.089077299733845e-005	2.648174e+001	2.205458e+000	4.603358e-002	1.799929e+001	2.132296e-002	4.640734e-005
3.489077299723142e-005	2.648088e+001	2.371535e+000	4.001302e-002	1.799928e+001	2.132127e-002	4.544751e-005
3.889077299712440e-005	2.648002e+001	2.636044e+000	3.163006e-002	1.799928e+001	2.131988e-002	4.412252e-005
4.289077299701738e-005	2.647916e+001	2.986228e+000	2.125966e-002	1.799928e+001	2.131873e-002	4.250228e-005
4.689077299691036e-005	2.647830e+001	3.397505e+000	9.553447e-003	1.799927e+001	2.131776e-002	4.069916e-005
5.089077299680334e-005	2.647744e+001	3.841802e+000	-2.753049e-003	1.799927e+001	2.131689e-002	3.883394e-005
5.489077299669631e-005	2.647659e+001	4.289906e+000	-1.488656e-002	1.799926e+001	2.131603e-002	3.702618e-005
5.889077299658929e-005	2.647573e+001	4.713667e+000	-2.608470e-002	1.799926e+001	2.131510e-002	3.538594e-005
6.289077299648227e-005	2.647487e+001	5.087809e+000	-3.564383e-002	1.799926e+001	2.131403e-002	3.400758e-005
6.689077299637525e-005	2.647401e+001	5.391196e+000	-4.296333e-002	1.799925e+001	2.131276e-002	3.296604e-005
7.089077299626823e-005	2.647315e+001	5.622864e+000	-4.804852e-002	1.799924e+001	2.131128e-002	3.224965e-005
7.245940180822252e-005	2.647281e+001	5.687059e+000	-4.922332e-002	1.799924e+001	2.131063e-002	3.208518e-005
7.430424001708680e-005	2.647242e+001	5.735228e+000	-4.977625e-002	1.799924e+001	2.130978e-002	3.200827e-005
7.624125967975459e-005	2.647200e+001	5.761473e+000	-4.963126e-002	1.799924e+001	2.130882e-002	3.202905e-005
7.852037574296311e-005	2.647152e+001	5.755483e+000	-4.838058e-002	1.799923e+001	2.130759e-002	3.220510e-005
8.221430049792922e-005	2.647072e+001	5.673603e+000	-4.430033e-002	1.799922e+001	2.130538e-002	3.278151e-005
8.621430049782219e-005	2.646987e+001	5.496936e+000	-3.749466e-002	1.799921e+001	2.130273e-002	3.375104e-005
9.021430049771517e-005	2.646901e+001	5.229446e+000	-2.838889e-002	1.799920e+001	2.129982e-002	3.506401e-005
9.421430049760815e-005	2.646815e+001	4.883166e+000	-1.749934e-002	1.799919e+001	2.129669e-002	3.665760e-005
9.821430049750113e-005	2.646729e+001	4.477351e+000	-5.510239e-003	1.799917e+001	2.129337e-002	3.844058e-005
1.022143004973941e-004	2.646643e+001	4.035855e+000	6.825087e-003	1.799916e+001	2.128995e-002	4.030492e-005
1.062143004972871e-004	2.646558e+001	3.586002e+000	1.873157e-002	1.799915e+001	2.128650e-002	4.213184e-005
1.102143004971801e-004	2.646472e+001	3.156909e+000	2.946108e-002	1.799913e+001	2.128311e-002	4.380002e-005
1.142143004970730e-004	2.646386e+001	2.777368e+000	3.833944e-002	1.799912e+001	2.127986e-002	4.519517e-005
1.182143004969660e-004	2.646301e+001	2.468573e+000	4.494812e-002	1.799911e+001	2.127681e-002	4.624165e-005
1.214556838078362e-004	2.646231e+001	2.278556e+000	4.851775e-002	1.799910e+001	2.127451e-002	4.680945e-005
1.230589032896745e-004	2.646197e+001	2.212170e+000	4.950865e-002	1.799909e+001	2.127345e-002	4.696718e-005
1.245877915301286e-004	2.646164e+001	2.171223e+000	4.985067e-002	1.799909e+001	2.127251e-002	4.702115e-005
1.263467607952595e-004	2.646126e+001	2.148020e+000	4.961877e-002	1.799909e+001	2.127149e-002	4.698300e-005
1.286919460641300e-004	2.646076e+001	2.158944e+000	4.823748e-002	1.799908e+001	2.127026e-002	4.676058e-005
1.324909157323084e-004	2.645995e+001	2.260459e+000	4.389969e-002	1.799907e+001	2.126850e-002	4.606628e-005
1.364909157322014e-004	2.645909e+001	2.465567e+000	3.693497e-002	1.799907e+001	2.126694e-002	4.495937e-005
1.404909157320944e-004	2.645823e+001	2.766977e+000	2.768593e-002	1.799906e+001	2.126565e-002	4.350374e-005
1.444909157319874e-004	2.645738e+001	3.144796e+000	1.669727e-002	1.799906e+001	2.126459e-002	4.179617e-005
1.484909157318803e-004	2.645652e+001	3.572766e+000	4.659466e-003	1.799905e+001	2.126367e-002	3.995357e-005
1.524909157317733e-004	2.645566e+001	4.022078e+000	-7.671110e-003	1.799905e+001	2.126282e-002	3.809736e-005
1.564909157316663e-004	2.645481e+001	4.463695e+000	-1.951968e-002	1.799905e+001	2.126195e-002	3.634417e-005
1.604909157315593e-004	2.645395e+001	4.870430e+000	-3.014176e-002	1.799904e+001	2.126098e-002	3.479840e-005
1.644909157314523e-004	2.645309e+001	5.218542e+000	-3.886992e-002	1.799904e+001	2.125984e-002	3.354696e-005
1.684909157313452e-004	2.645224e+001	5.494400e+000	-4.532745e-002	1.799903e+001	2.125850e-002	3.263206e-005
1.715608976684546e-004	2.645158e+001	5.651746e+000	-4.859835e-002	1.799903e+001	2.125731e-002	3.217253e-005
1.731896821732804e-004	2.645123e+001	5.709490e+000	-4.954680e-002	1.799903e+001	2.125661e-002	3.204004e-005
1.748201278362060e-004	2.645089e+001	5.746440e+000	-4.986715e-002	1.799902e+001	2.125585e-002	3.199564e-005
1.764331424440879e-004	2.645054e+001	5.763622e+000	-4.960778e-002	1.799902e+001	2.125504e-002	3.203234e-005
1.788323959877047e-004	2.645003e+001	5.751265e+000	-4.811583e-002	1.799902e+001	2.125372e-002	3.224235e-005
1.827171586081811e-004	2.644920e+001	5.655704e+000	-4.356236e-002	1.799901e+001	2.125138e-002	3.288612e-005
1.867171586080740e-004	2.644834e+001	5.468030e+000	-3.646890e-002	1.799899e+001	2.124870e-002	3.389798e-005
1.907171586079670e-004	2.644748e+001	5.189751e+000	-2.710475e-002	1.799898e+001	2.124577e-002	3.525057e-005
1.947171586078600e-004	2.644663e+001	4.834823e+000	-1.603750e-002	1.799897e+001	2.124261e-002	3.687336e-005
1.987171586077530e-004	2.644577e+001	4.423127e+000	-3.962563e-003	1.799896e+001	2.123929e-002	3.867279e-005
2.027171586076459e-004	2.644492e+001	3.979024e+000	8.361359e-003	1.799894e+001	2.123586e-002	4.053910e-005
2.067171586075389e-004	2.644406e+001	3.530166e+000	2.015991e-002	1.799893e+001	2.123242e-002	4.235267e-005
2.107171586074319e-004	2.644321e+001	3.105752e+000	3.069173e-002	1.799892e+001	2.122905e-002	4.399256e-005
2.147171586073249e-004	2.644235e+001	2.734373e+000	3.929508e-002	1.799890e+001	2.122583e-002	4.534602e-005
2.187171586072179e-004	2.644150e+001	2.434583e+000	4.562784e-002	1.799889e+001	2.122281e-002	4.634957e-005
